configuration_id,design_hash,model,row_index,row_seed
qwen3.6-plus,e3a524ce6569762f3a2dcd9b4249ddd6cd245312a0a9c8356d177ad906feaf2d,family:qwen3.6-plus,22,994655802
gemini-3-flash-preview,da5bd610dd8f554337beae7c44d8ad66e3c51621f78f5783fa62050b2e90ff3c,family:gemini-3-flash-preview,23,142709102
deepseek-v4-flash,02a18e816214452498817882b424668ed44fb7b79c3477b4ba60e28b5905a443,family:deepseek-v4-flash,24,1582887749
deepseek-v4-pro,5f5be284e7a6f00acd8bd663220b426e1d9bfb294b51687e60c63526e79d3504,family:deepseek-v4-pro,25,945057028
deepseek-v4-pro,ee598730cf404c2af38db5b35a5fc41ee192a84f9df57e4cb616d77b88b7ca57,family:deepseek-v4-pro,26,1895369694
glm-5.2,dc22bb26cc23bc2542bd0d7d516f0cb9e871c007ce5d6a2000612f1268554996,family:glm-5.2,27,612367178
kimi-k2.6,a26aee4f0ff56fac10aa0a1fe8b534389f42738a5dade63c78eec4c22d423173,family:kimi-k2.6,28,1214870864
mercury-2,2b63a9e691eb21cdc27b9cc155563344eb59299e7451fc68cc20a75bafae8f67,family:mercury-2,29,1040063833
qwen3.7-max,53e31464b66581ca66a591a646c5fc917bfcd4f476dfc166349c58b44597857c,family:qwen3.7-max,30,1626050153
kimi-k3,93884b52f34fff733c809dd88d33396a2f5022c2f8b8d29b602417320e852ccd,family:kimi-k3,31,477984860
grok-4.5,39314a8695f8d1eab18aa44494c95e57711533c96bac1de9004cd621d37f378a,family:grok-4.5,32,1478562204
deepseek-v4-pro,f4b262d8a950cbbdb2a38ed6434073d012f1abae31b68bec078f20e10ba637c8,family:deepseek-v4-pro,33,1879060957
qwen3.7-plus,7a769fcd432ca3a1805c759f582e4be6147fc86a00324fa1c640d947037fea35,family:qwen3.7-plus,34,1654933023
deepseek-v4-flash,29c0e6d3058e5abc04a78208b84ea14a757fffb2d4d920fe8a37d1356b44617c,family:deepseek-v4-flash,35,752663886
qwen3.7-max,1f814470050de9ffcddbe8e99c912d48e7c9e5e6dc0207d6cf7d6333a4effd64,family:qwen3.7-max,36,1462340761
glm-5.1,ef75b3279a23220595dc8cd23a5c6d3253d7ca80554b21a9d7a4fd7a635bf167,family:glm-5.1,37,1632535792
gemini-3.1-pro-preview,5d6ca5544a4b2f33937c4ad992c1a796fc841088b51d1c2c9a4753bb24906346,family:gemini-3.1-pro-preview,38,1202063763
claude-opus-4-8,7a76ae181ff2ad52d0c7ae3779f5e3d7f00874dc37fe564ff50b8f0f2ed869c7,family:claude-opus-4-8,39,1969366303
